"Time","Sound pressure level"
3.779929876E-1,-5.700532937E1
4.918709993E-1,-5.467847239E1
6.040199995E-1,-5.689559683E1
7.193119526E-1,-5.769244898E1
8.367010355E-1,-5.817022929E1
9.530919790E-1,-6.286502906E1
1.055379033E0,-6.286502906E1
1.158368945E0,-6.289646470E1
1.269068003E0,-5.952768220E1
1.372202039E0,-5.891268419E1
1.483471036E0,-5.415333041E1
1.589017034E0,-5.148066666E1
1.697957993E0,-4.116489586E1
1.808953047E0,-4.865002248E1
1.911707997E0,-5.633602687E1
2.022737980E0,-6.280623877E1
2.126901031E0,-6.431763221E1
2.232187033E0,-5.610011555E1
2.342941046E0,-4.223322315E1
2.445343971E0,-4.326704365E1
2.555953979E0,-5.757323027E1
2.664693952E0,-5.827924599E1
2.772925019E0,-5.821707196E1
2.884827018E0,-6.073526544E1
2.989619970E0,-6.200274246E1
3.100142002E0,-6.279991327E1
3.206467986E0,-3.764256171E1
3.309749007E0,-3.270883718E1
3.412868023E0,-4.829673359E1
3.523259997E0,-3.885845590E1
3.627382040E0,-3.891107729E1
3.739359021E0,-3.452718768E1
3.850653052E0,-3.976478625E1
3.957759976E0,-5.605369226E1
4.066905975E0,-4.394106686E1
4.173609018E0,-4.321473641E1
4.285786986E0,-4.350506587E1
4.390498996E0,-4.729436126E1
4.502475023E0,-4.658630240E1
4.607089043E0,-4.771096323E1
4.716949940E0,-4.910852950E1
4.823884010E0,-4.813440511E1
4.931256056E0,-4.780618693E1
5.040851951E0,-4.683906037E1
5.145383000E0,-4.776507127E1
5.248311996E0,-4.751331807E1
5.357563019E0,-4.743175066E1
5.469604969E0,-4.726928471E1
5.574349999E0,-4.777506503E1
5.682034969E0,-4.820905587E1
5.791857004E0,-4.785752243E1
5.903527975E0,-4.769330400E1
6.008754015E0,-4.799856577E1
6.119246006E0,-4.793677615E1
6.225785971E0,-4.808177377E1
6.332648039E0,-4.765398309E1
6.442612052E0,-4.797274489E1
6.547603011E0,-4.759905202E1
6.659207940E0,-4.927118251E1
6.762379050E0,-4.908684803E1
6.875023007E0,-4.928673793E1
6.987751961E0,-4.983371243E1
7.094496012E0,-5.022381980E1
7.206053972E0,-5.134616201E1
7.321444035E0,-4.965504549E1
7.425431967E0,-4.919262805E1
7.537184954E0,-4.940961959E1
7.642047048E0,-5.018850519E1
7.752311945E0,-5.077784810E1
7.858858943E0,-5.024220359E1
7.966869950E0,-4.991521169E1
8.075513959E0,-5.085252075E1
8.181267977E0,-5.023090831E1
8.296159029E0,-4.845744721E1
8.409111023E0,-4.927166678E1
8.522058964E0,-4.926695339E1
8.625857949E0,-4.990074836E1
8.738672972E0,-5.052834837E1
8.845847964E0,-5.013193240E1
8.956634045E0,-5.069408949E1
9.067890048E0,-5.111679858E1
9.177600026E0,-4.987205287E1
9.286617041E0,-4.982057618E1
9.394570947E0,-4.912314080E1
9.500761032E0,-4.919101560E1
9.611207962E0,-4.965871581E1
9.714959025E0,-4.993468342E1
9.826396942E0,-4.908269835E1
9.929301977E0,-4.908554813E1
1.004207003E1,-5.039901401E1
1.015731597E1,-4.952804522E1
1.026264596E1,-4.939860780E1
1.036781704E1,-4.886571047E1
1.047960794E1,-4.977642545E1
1.058990204E1,-5.036686074E1
1.069726205E1,-4.919988640E1
1.080414796E1,-4.833577185E1
1.091343403E1,-4.864841156E1
1.101830304E1,-4.844593857E1
1.113002896E1,-4.883477715E1
1.124304998E1,-4.872309763E1
1.135795498E1,-4.781220994E1
1.146338701E1,-4.945630547E1
1.157616401E1,-4.898478160E1
1.168522704E1,-4.821860105E1
1.179673195E1,-4.849462937E1
1.190963197E1,-4.955461453E1
1.202521503E1,-4.931293503E1
1.214168406E1,-4.972459078E1
1.224666703E1,-4.840630858E1
1.235876405E1,-4.789944863E1
1.247206998E1,-5.051529787E1
1.258000803E1,-4.974225761E1
1.269210196E1,-4.934743018E1
1.280861497E1,-4.889779691E1
1.291351497E1,-5.014002053E1
1.302635503E1,-5.061016974E1
1.313234603E1,-4.936147338E1
1.324478400E1,-4.865334782E1
1.334894502E1,-4.884884634E1
1.346152103E1,-5.053416801E1
1.356566894E1,-5.034644157E1
1.367832100E1,-4.964809021E1
1.378232801E1,-4.957990671E1
1.389729095E1,-5.117499304E1
1.401021194E1,-5.123959227E1
1.411565197E1,-4.946284663E1
1.422845495E1,-4.992234388E1
1.433233798E1,-5.047055083E1
1.444545996E1,-5.115743548E1
1.454901505E1,-5.161300087E1
1.466212201E1,-5.016199225E1
1.476643205E1,-5.094912684E1
1.487886095E1,-5.148645774E1
